OBJECTID,NO_CIV_LIE,PREFIX_TEM,NOM_TEMP,DIR_TEMP,MUN_TEMP,DESC_LIEU,LATITUDE,LONGITUDE
"1",4139.00000000000,BOUL,SOURCES DES,,DDO,POSTE DE QUARTIER 4,45.49437068520,-73.80730193150
"2",8930.00000000000,BOUL,PIE-IX,,MTL,POSTE DE QUARTIER 30,45.57773517660,-73.61743103330
"3",4555.00000000000,RUE,HOCHELAGA,,MTL,POSTE DE QUARTIER 23,45.55685714600,-73.54591371410
"4",11756.00000000000,BOUL,O'BRIEN,,MTL,POSTE DE QUARTIER 10,45.52853340720,-73.70102693300
"5",6100.00000000000,BOUL,HENRI-BOURASSA,,MTN,POSTE DE QUARTIER 39,45.60771470430,-73.61562289510
"6",393.00000000000,BOUL,ST-JEAN,,PCL,POSTE DE QUARTIER 5,45.44787436790,-73.81589608480
"7",21.00000000000,STRE,STANTON,,WES,POSTE DE QUARTIER 12,45.48639324280,-73.59865208020
"8",1625.00000000000,AVEN,EGLISE DE L',,MTL,POSTE DE QUARTIER 15,45.46370897470,-73.58495416090
"9",1498.00000000000,BOUL,ST-JEAN-BAPTISTE,,MTL,POSTE DE QUARTIER 49,45.64160695000,-73.50542826160
"10",920.00000000000,RUE,BELANGER,,MTL,POSTE DE QUARTIER 35,45.53975698400,-73.60909563780
"11",1761.00000000000,RUE,GRENET,,VSL,POSTE DE QUARTIER 7,45.51835902630,-73.69667927640
"12",2883.00000000000,BOUL,ST-CHARLES,,KIR,POSTE DE QUARTIER 1,45.44732192630,-73.85228998480
"13",170.00000000000,AVEN,15E,,LAC,POSTE DE QUARTIER 8,45.43441059200,-73.67713761380
"14",6850.00000000000,BOUL,JOSEPH-RENAUD,,ANJ,POSTE DE QUARTIER 46,45.60503102470,-73.55298838140
"15",5501.00000000000,AVEN,WESTMINSTER,,CSL,POSTE DE QUARTIER 9,45.45979012740,-73.66214190520
"16",1669.00000000000,RUE,BERRI,,MTL,POSTE DE QUARTIER 21,45.51645458340,-73.56313989920
"17",1033.00000000000,RUE,RACHEL,E,MTL,POSTE DE QUARTIER 38,45.52552546100,-73.57523506810
"18",8745.00000000000,BOUL,LASALLE,,LAS,POSTE DE QUARTIER 13,45.41549949470,-73.62166400810
"19",7405.00000000000,AVEN,MOUNTAIN-SIGHTS,,MTL,POSTE DE QUARTIER 26,45.49610708080,-73.65164512080
"20",4807.00000000000,RUE,MOLSON,,MTL,POSTE DE QUARTIER 44,45.54235006930,-73.56928418290
"21",1805.00000000000,RUE,FLEURY,E,MTL,POSTE DE QUARTIER 27,45.56856982020,-73.65361429820
"22",750.00000000000,RUE,WILLIBRORD,,VER,POSTE DE QUARTIER 16,45.45922193130,-73.57334988450
"23",14680.00000000000,BOUL,PIERREFONDS DE,,PRF,POSTE DE QUARTIER 3,45.48612308130,-73.85717282280
"24",8200.00000000000,BOUL,MAURICE-DUPLESSIS,,MTL,POSTE DE QUARTIER 45,45.63330219090,-73.58643719810
"25",8225.00000000000,AVEN,ESPLANADE DE L',,MTL,POSTE DE QUARTIER 31,45.53705174270,-73.63545557410
"26",1432.00000000000,RUE,STE-CATHERINE,O,MTL,POSTE DE QUARTIER 20,45.49611587110,-73.57653236840
"27",6905.00000000000,RUE,NOTRE-DAME,,MTL,POSTE DE QUARTIER 48,45.57770675890,-73.51505813070
"28",8181.00000000000,BOUL,LACORDAIRE,,STL,POSTE DE QUARTIER 42,45.58531998720,-73.59412317760
